tick,timestamp_ms,mspt,cpu_temp_c,cpu_freq_mhz,cpu_power_w
493,1782044838211,20.088,82.0,2799.8,20.73
494,1782044838261,20.679,84.0,2800.2,18.89
495,1782044838314,23.256,85.0,2800.0,18.89
496,1782044838362,21.511,85.0,2800.1,22.10
497,1782044838414,23.355,83.0,2799.9,22.10
498,1782044838460,18.805,85.0,2799.3,20.70
499,1782044838512,20.785,82.0,2800.5,20.70
500,1782044838560,19.179,83.0,2799.6,18.56
501,1782044838612,20.741,83.0,2800.1,18.56
502,1782044838662,21.108,84.0,2800.7,17.29
503,1782044838713,22.350,81.0,2800.0,17.29
504,1782044838759,18.092,81.0,2800.2,18.97
505,1782044838812,21.693,82.0,2799.6,18.97
506,1782044838861,20.698,82.0,2800.1,18.56
507,1782044838912,21.397,82.0,2799.9,18.56
508,1782044838961,20.309,83.0,2800.2,20.07
509,1782044839013,21.909,84.0,2800.0,20.07
510,1782044839062,21.035,82.0,2800.0,21.34
511,1782044839113,22.290,82.0,2800.1,21.34
512,1782044839163,21.829,84.0,2800.0,21.14
513,1782044839213,21.921,83.0,2800.1,21.14
514,1782044839262,20.730,84.0,2800.0,23.00
515,1782044839312,21.444,82.0,2800.0,23.00
516,1782044839361,20.028,84.0,2550.7,17.73
517,1782044839409,18.686,83.0,2550.8,17.73
518,1782044839461,20.424,84.0,2799.8,18.23
519,1782044839511,19.808,83.0,2799.9,18.23
520,1782044839560,18.711,84.0,2799.9,17.87
521,1782044839612,21.040,84.0,2799.9,17.87
522,1782044839662,20.978,85.0,2800.2,19.53
523,1782044839711,20.326,83.0,2550.1,19.53
524,1782044839759,18.559,84.0,2801.0,17.85
525,1782044839814,23.196,82.0,2800.8,17.85
526,1782044839860,19.515,79.0,2800.4,17.07
527,1782044839910,19.448,82.0,2799.4,17.07
528,1782044839961,19.893,83.0,2799.9,16.59
529,1782044840012,20.731,84.0,2800.0,16.59
530,1782044840061,20.065,85.0,2799.9,20.08
531,1782044840112,21.512,85.0,2799.5,20.08
532,1782044840165,24.023,85.0,2799.6,19.63
533,1782044840211,20.275,86.0,2799.7,19.63
534,1782044840258,17.579,81.0,2799.9,19.92
535,1782044840312,21.097,79.0,2800.3,19.92
536,1782044840361,20.428,83.0,2800.0,15.58
537,1782044840414,22.896,84.0,2800.2,15.58
538,1782044840463,21.947,85.0,2799.8,21.77
539,1782044840509,18.682,85.0,2799.7,21.77
540,1782044840562,20.755,86.0,2800.0,19.33
541,1782044840610,19.166,85.0,2799.5,19.33
542,1782044840663,22.295,86.0,2800.4,20.07
543,1782044840711,20.000,84.0,2551.0,20.07
544,1782044840764,23.486,83.0,2800.6,17.30
545,1782044840814,22.851,84.0,2800.0,17.30
546,1782044840860,19.395,84.0,2799.9,21.01
547,1782044840912,20.914,85.0,2800.0,21.01
548,1782044840959,18.323,86.0,2800.5,19.64
549,1782044841014,23.141,85.0,2800.1,19.64
550,1782044841061,19.985,85.0,2800.7,19.31
551,1782044841110,18.768,84.0,2550.2,19.31
552,1782044841160,19.415,79.0,2800.6,17.85
553,1782044841212,21.227,84.0,2800.3,17.85
